start,end,ml,ml_ok,convective,h_kdp_pk,h_kdp_top,t_kdp_pk,t_kdp_top,comment
2015-07-19 06:00,2015-07-19 16:00,1,1,1,5,6.5,-18,-29,showers. clearly convective. INTERESTING
2015-07-21 18:00,2015-07-22 08:00,1,1,0,,,,,clear ml
2015-07-23 08:00,2015-07-23 14:30,1,1,1,,,,,convective cell with high kdp
2015-07-25 17:00,2015-07-26 10:00,1,1,,,,,,frontal; drizzle after 10
2015-07-29 11:00,2015-07-29 15:00,1,1,0,,,,,two precipitating cloud layers separated by dry layer at 4km
2015-08-05 15:00,2015-08-06 05:00,1,1,0,,,,,
2015-08-11 17:00,2015-08-11 20:00,1,1,0,,,,,short event starting with intense kdp
2015-08-12 08:00,2015-08-12 16:00,1,1,0,,,,,ml; frontal
2015-08-26 07:00,2015-08-26 14:00,1,1,0,,,,,H-M
2015-08-27 05:00,2015-08-27 16:00,1,1,0,,,,,high zdr in ml
2015-08-27 18:00,2015-08-28 14:00,1,1,0,,,,,clear ml
2015-08-29 00:00,2015-08-29 02:00,1,1,1,,,,,kdp
2015-08-30 12:45,2015-08-30 15:00,1,1,1,5,6,-18,-24,strong cells; hail at 12?
2015-09-04 19:00,2015-09-05 00:00,1,1,1,,,,,varying intensity
2015-09-07 01:15,2015-09-07 07:00,1,1,,,,,,frontal; varying kdp; hanging part cut out due to ml detection issues
2015-09-16 05:00,2015-09-16 09:00,1,1,0,,,,,very strong kdp; near occlusion point
2015-09-17 04:00,2015-09-17 08:00,1,1,0,,,,,
2015-09-17 13:45,2015-09-17 16:30,1,1,0,,,,,ml above 2km
2015-09-18 00:00,2015-09-18 11:00,1,1,0,,,,,ml above 2km; convective; very strong kdp adter 8
2015-09-21 15:30,2015-09-21 17:15,1,1,,,,,,
2015-09-23 10:00,2015-09-23 13:00,1,1,,,,,,
2015-09-24 14:00,2015-09-24 17:00,1,1,0,5.4,5.9,-14.5,-18,
2015-10-23 04:00,2015-10-23 11:00,1,1,1,,,,,shallow cells
2015-10-25 06:00,2015-10-25 17:30,1,1,0,,,,,frontal
2015-11-07 15:00,2015-11-07 20:00,1,1,0,,,,,
#2015-11-13 21:00,2015-11-14 01:30,1,1,0,,,,,ml close to surface; very high kdp around 23:20; missing 13th data? Causes crash
2015-11-17 00:00,2015-11-17 10:00,1,0,,,,,,ml at surface
2015-11-25 00:00,2015-11-25 19:00,1,0,,,,,,ml at surface
2015-12-04 14:00,2015-12-04 23:00,1,0,0,,,,,ml at surface
2015-12-05 11:30,2015-12-06 09:45,1,1,,,,,,data gap around 23:30
2015-12-08 18:00,2015-12-08 21:30,1,1,0,,,,,
2015-12-10 10:00,2015-12-10 20:00,1,1,0,,,,,ml close to ground; shallow system
2015-12-18 07:00,2015-12-18 17:00,1,1,0,,,,,
2016-01-26 04:30,2016-01-26 10:00,1,1,0,,,,,
2016-04-16 21:00,2016-04-16 23:30,1,0,0,,,,,ml at surface; quite shallow
2016-04-17 07:00,2016-04-17 12:00,1,1,0,,,,,ml almost at surface; very strong kdp; z; matalan keskus
2016-04-26 08:30,2016-04-27 10:00,1,1,0,,,,,frontal
2016-04-28 21:30,2016-04-29 00:30,1,1,0,,,,,
2016-05-14 09:30,2016-05-14 16:00,1,1,0,,,,,
2016-05-15 00:00,2016-05-15 14:00,1,1,,,,,,frontal with convective tail?
2016-05-25 15:00,2016-05-25 19:00,1,1,1,6,7,-19,-27,verified convective cell possibly with hail
2016-05-26 06:00,2016-05-26 13:00,1,1,0,,,,,cf between 2 meso lows; weird kdp below ml; squal line to south
2016-06-08 00:00,2016-06-08 05:00,1,1,0,,,,,cold front
2016-06-16 00:00,2016-06-17 00:00,1,1,0,,,,,intense kdp!!
2016-06-17 22:00,2016-06-18 09:00,1,1,1,6,8,-17,-30,convective; high kdp over and under ml
2016-06-19 04:00,2016-06-19 07:00,1,1,0,,,,,
2016-06-21 16:00,2016-06-21 22:00,1,1,0,,,,,
2016-06-23 09:00,2016-06-23 13:30,1,1,,,,,,kdp; cropped
2016-06-27 10:00,2016-06-28 00:00,1,1,0,,,,,frontal; sustained kdp 
2016-06-30 05:30,2016-06-30 08:00,1,1,1,5.8,7,-14,-27,synoptically curious case
2016-07-03 00:00,2016-07-03 04:00,1,1,1,,,,,convection assoc to cf
2016-07-03 13:00,2016-07-03 18:30,1,1,0,,,,,old cb in a front
2016-07-04 00:00,2016-07-05 04:00,1,1,0,,,,,very dry below melting layer
2016-07-05 08:00,2016-07-06 02:30,1,1,0,,,,,rising ml
2016-07-06 16:00,2016-07-07 15:00,1,1,,,,,,
2016-07-07 20:00,2016-07-08 23:00,1,1,,,,,,dry layer after 8:00
2016-07-10 12:30,2016-07-10 16:00,1,1,1,,,,,strong slow convective cell
2016-07-11 22:00,2016-07-12 22:15,1,1,,,,,,convective
2016-07-13 12:00,2016-07-13 17:00,1,1,,,,,,kdp below melting -> hail?
2016-07-15 12:00,2016-07-16 00:00,1,1,0,,,,,in the center of a low with patchy precip
2016-07-18 12:30,2016-07-18 15:00,1,1,1,,,,,afternoon convection: single shallow but intence cell
2016-07-28 12:30,2016-07-28 16:00,1,1,0,,,,,frontal
2016-07-30 11:00,2016-07-30 20:00,1,1,1,,,,,afternoon convection
2016-07-31 11:30,2016-07-31 19:00,1,1,1,,,,,squall line followed by an individual cell
2016-08-01 12:30,2016-08-01 23:00,1,1,0,,,,,frontal
2016-08-04 08:30,2016-08-04 13:00,1,1,0,,,,,strong front possibly with convective tail
2016-08-05 12:00,2016-08-05 16:30,1,1,,,,,,kdp
2016-08-09 22:00,2016-08-10 01:00,1,1,0,,,,,frontal
2016-08-13 01:30,2016-08-13 17:00,1,1,,,,,,
2016-08-14 13:00,2016-08-14 20:00,1,1,1,,,,,squall line
2016-08-15 15:00,2016-08-15 20:00,1,1,,,,,,
2016-08-16 06:00,2016-08-16 18:00,1,1,0,,,,,frontal
2016-08-18 07:30,2016-08-18 11:00,1,1,0,,,,,meso low
2016-08-19 18:00,2016-08-19 20:30,1,1,,,,,,
2016-08-22 06:00,2016-08-22 12:00,1,1,0,,,,,elevated ml; kdp at the end; frontal
2016-08-25 02:00,2016-08-25 08:00,1,1,0,,,,,frontal system possibly followed by convection
2016-08-29 11:00,2016-08-29 18:00,1,1,0,,,,,weak kdp
2016-09-03 14:00,2016-09-04 18:00,1,1,,,,,,somewhat shallow
2016-09-28 10:00,2016-09-28 19:00,1,1,0,,,,,kdp
2016-09-29 11:00,2016-09-29 22:00,1,1,0,,,,,kdp inside ml? frontal
2016-09-30 02:00,2016-09-30 09:00,1,1,0,,,,,shallow showers
2016-10-27 18:00,2016-10-28 04:15,1,1,0,,,,,frontal
2016-10-28 11:00,2016-10-28 16:00,1,1,,,,,,ml asceding to the ground; cropped
2017-02-28 02:00,2017-02-28 06:00,1,,,,,,,
2017-02-28 18:00,2017-02-28 20:30,1,,,,,,,
2017-04-01 10:00,2017-04-01 14:00,1,1,0,,,,,rain following a snowfall
2017-05-17 06:00,2017-05-17 13:00,1,1,0,,,,,
2017-05-27 08:00,2017-05-27 20:00,1,1,0,,,,,elevation change
2017-05-30 17:00,2017-05-31 03:00,1,1,0,,,,,
